t,s(t)
0.0,0.1
1e-05,0.07200025079613817
2e-05,0.0036807222941358992
3e-05,-0.06669999223036374
4e-05,-0.09972904566786903
5e-05,-0.076910333764558
6e-05,-0.011022220729388332
7e-05,0.061038280627630837
8e-05,0.09891765099647809
9e-05,0.08140363297059489
0.0001,0.018303988795514196
0.00011,-0.05504579729366038
0.00012,-0.09757021300385285
0.00013,-0.08545579883654014
0.00014,-0.025486565960451714
0.00015,0.04875501601484342
0.00016,0.09569403357322086
0.00017,0.08904487232447582
0.00018,0.03253102921622645
0.00019,-0.042200027079979885
0.0002,-0.09329927988347382
0.00021,-0.09215140393420425
0.00022,-0.03939920400610503
0.00023,0.03541635254204905
0.00024,0.09039892931234429
0.00025,0.09475855910177418
0.00026,0.04605387109582429
0.00027,-0.028440753721127122
0.00028,-0.08700869911087089
0.00029,-0.09685220942744181
0.0003,-0.05245896826784723
0.00031,0.021311031991608997
0.00032,0.08314696123025439
0.00033,0.09842100923869297
0.00034,0.05857978574564398
0.00035,-0.014065823933284708
0.00036,-0.07883464276266043
0.00037,-0.0994564570734256
0.00038,-0.0643831542889793
0.00039,0.006744391956366111
0.0004,0.07409511253549564
0.00041,0.09995294175010934
0.00042,0.06983762494089747
0.00043,0.0006135884649158183
0.00044,-0.06895405447370635
0.00045,-0.09990777277526453
0.00046,-0.07491363945234593
0.00047,-0.007968243797143813
0.00048,0.06343932841636439
0.00049,0.09932119492347942
0.0005,0.0795836904608886
0.00051,0.01527971852584486
0.00052,-0.05758081914178401
0.00053,-0.09819638691095539
0.00054,-0.08382247055548388
0.00055,-0.022508391135979522
0.00056,0.05141027441932127
0.00057,0.09653944416976883
0.00058,0.08760700941954094
0.00059,0.02961508882436303
0.0006,-0.04496113296545996
0.00061,-0.09435934581619575
0.00062,-0.09091679830905236
0.00063,-0.03656129978047775
0.00064,0.03826834323650852
0.00065,0.09166790599210403
0.00066,0.09373390119125774
0.00067,0.0433093818853153
0.00068,-0.03136817403988894
0.00069,-0.0884797098430933
0.0007,-0.09604305194155671
0.00071,-0.04982276669727866
0.00072,0.024298017990325757
0.00073,0.08481203448032933
0.00074,0.09783173707196295
0.00075,0.056066157619733825
0.00076,-0.017096188876029754
0.00077,-0.08068475535437923
0.00078,-0.09909026354277808
0.00079,-0.062005721176329465
0.0008,0.00980171403295526
0.00081,0.07612023854842559
0.00082,0.09981181129001498
0.00083,0.0676092703575319
0.00084,-0.0024541228522907033
0.00085,-0.0711432195745212
0.00086,-0.09999247018391445
0.00087,-0.0728464390448231
0.00088,-0.004906767432742758
0.00089,0.06578066932970707
0.0009,0.0996312612182777
0.00091,0.07768884656732405
0.00092,0.012241067519921588
0.00093,-0.060061647938386836
0.00094,-0.0987301418157856
0.00095,-0.08211025149911064
0.00096,-0.019509032201613218
0.00097,0.05401714727298887
0.00098,0.09729399522055587
0.00099,0.0860866938637771
0.001,0.026671275747490637
0.00101,-0.04767992300633139
0.00102,-0.09533060403541907
0.00103,-0.0895966249756184
0.00104,-0.033688985339223196
0.00105,0.04108431710578915
0.00106,0.09285060804732101
0.00107,0.09262102421383173
0.00108,0.040524131400499236
0.00109,-0.03426607173119908
0.0011,-0.08986744656939517
0.00111,-0.09514350209690103
0.00112,-0.047139673682601635
