t,sn
0.0,0.027916649006141145
1e-05,0.11639116130865348
2e-05,-0.037886222989752166
3e-05,-0.03306540423837941
4e-05,-0.11661060273478938
5e-05,-0.12503613353486653
6e-05,0.045202219834781496
7e-05,0.04741126897191447
8e-05,0.026771138996499577
9e-05,0.14807524996419177
0.0001,0.10676986685680975
0.00011,-0.07395995541754241
0.00012,-0.0381821061401436
0.00013,-0.025778932496811888
0.00014,-0.015537378308415256
0.00015,0.08221960633642156
0.00016,0.18442343363405098
0.00017,0.06619162476929748
0.00018,0.03506613970173719
0.00019,-0.029038244201358962
0.0002,-0.17065187657437791
0.00021,-0.017618275420630283
0.00022,-0.11320303252102151
0.00023,0.05010720073626071
0.00024,0.16853834304609144
0.00025,0.17253859918307923
0.00026,0.03596787164994949
0.00027,-0.09101606247767752
0.00028,-0.09232899577329948
0.00029,-0.053447967773131586
0.0003,-0.002317960572213236
0.00031,-0.003987135624242827
0.00032,0.13296626597882702
0.00033,0.09649565628885674
0.00034,0.10751935522072995
0.00035,-0.0006576984473631951
0.00036,-0.06734321567463813
0.00037,-0.10816506706111995
0.00038,-0.06680200913988323
0.00039,0.08143760661897935
0.0004,0.044299468127352234
0.00041,0.18797331266392497
0.00042,0.06352670092294221
0.00043,0.06595550067474305
0.00044,-0.0056214409591478776
0.00045,-0.11188616331040438
0.00046,-0.02738206761649834
0.00047,-0.07470083417076928
0.00048,0.013880448034255824
0.00049,0.18752839177790365
0.0005,0.14323673519859192
0.00051,0.0053143699632431495
0.00052,-0.13300611345935456
0.00053,-0.14848646483705907
0.00054,-0.05334010528785653
0.00055,-0.051539345274730725
0.00056,-0.01953049309271223
0.00057,0.17079182887989236
0.00058,0.11343682659606558
0.00059,-0.007027029918938509
0.0006,0.0019404460060372941
0.00061,-0.15538347058926916
0.00062,-0.026726637135007614
0.00063,-0.05964403124381308
0.00064,0.03396928484285148
0.00065,0.10996749031210873
0.00066,0.005701876060989736
0.00067,0.020526545038741753
0.00068,-0.08175484502366334
0.00069,-0.08960882786488279
0.0007,-0.11117698077163651
0.00071,-0.049842621117242504
0.00072,0.10279827360041713
0.00073,0.14955566279800656
0.00074,0.0873872465648362
0.00075,-0.03182087990472783
0.00076,-0.0935428563721892
0.00077,-0.04574441663111161
0.00078,-0.04848056916556306
0.00079,-0.019375477411562057
0.0008,0.038087891440522714
0.00081,0.0827738022996736
0.00082,0.14136320003020106
0.00083,0.11423361240412853
0.00084,0.03288546319749572
0.00085,-0.008685341060105524
0.00086,-0.04576445923013727
0.00087,-0.12195476095445551
